Disease,Medicine,Medicine_Type,Dosage_Notes,Disclaimer
Heart Disease,Aspirin (Antiplatelet Therapy),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Disease,Atorvastatin (High-intensity Statin),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Disease,Metoprolol (Beta-Blocker),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Disease,Lisinopril (ACE Inhibitor),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Disease,Nitroglycerin (Sublingual Vasodilator),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Disease,Clopidogrel,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
IBS,Dicyclomine (Antispasmodic),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
IBS,Psyllium Husk (Soluble Fiber Supplement),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
IBS,Loperamide (for IBS-D),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
IBS,Polyethylene Glycol (Osmotic Laxative for IBS-C),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
IBS,Amitriptyline (Low-dose TCA),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
IBS,Probiotic Supplements,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Influenza,Oseltamivir (Tamiflu),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Influenza,Zanamivir (Inhaled Antiviral),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Influenza,Baloxavir Marboxil,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Influenza,Paracetamol / Acetaminophen (for fever),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Influenza,"Decongestants (e.g., Pseudoephedrine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Migraine,Sumatriptan (5-HT1B/1D Agonist),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Migraine,Rizatriptan,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Migraine,Naproxen Sodium,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Migraine,Propranolol (Prophylactic Beta-Blocker),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Migraine,Metoclopramide (Anti-emetic),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Migraine,Topiramate (Prophylactic Anti-epileptic),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Obesity,Orlistat (Lipase Inhibitor),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Obesity,Semaglutide (GLP-1 Receptor Agonist),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Obesity,Liraglutide (GLP-1 Receptor Agonist),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Obesity,Phentermine / Topiramate,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Obesity,Naltrexone / Bupropion,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Parkinson's,Levodopa / Carbidopa,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Parkinson's,Pramipexole (Dopamine Agonist),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Parkinson's,Ropinirole (Dopamine Agonist),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Parkinson's,Rasagiline (MAO-B Inhibitor),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Parkinson's,Entacapone (COMT Inhibitor),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Stroke,Alteplase (rtPA Thrombolytic Infusion),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Stroke,Aspirin (Antiplatelet Therapy),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Stroke,Clopidogrel,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Stroke,Atorvastatin (High-potency Statin),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Stroke,Labetalol (Antihypertensive),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Thyroid Disorder,Levothyroxine Sodium (for Hypothyroidism),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Thyroid Disorder,Methimazole (for Hyperthyroidism),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Thyroid Disorder,Propylthiouracil (PTU),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Thyroid Disorder,Propranolol (for Hyperthyroid symptom control),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Thyroid Disorder,Radioactive Iodine Therapy,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Tuberculosis,Isoniazid (INH),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Tuberculosis,Rifampicin (RIF),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Tuberculosis,Pyrazinamide (PZA),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Tuberculosis,Ethambutol (EMB),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Tuberculosis,Pyridoxine (Vitamin B6 - co-prescribed with INH),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Ulcer,Omeprazole (Proton Pump Inhibitor),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Ulcer,Esomeprazole,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Ulcer,Famotidine (H2 Receptor Blocker),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Ulcer,Sucralfate (Mucosal Coating Agent),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Ulcer,Clarithromycin + Amoxicillin (for H. pylori),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
